name;deviceVersion;applicationName;sysOid;dfield;description;virtualDeviceName;preDefined;defaultIconId;categoryId;link;seriesId;id;defaultTopoIconId
Microsoft Unknown Product;null;;1.3.6.1.4.1.99.1.*;Windows;;CWinDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/226', '@rel': 'self', '@op': 'GET'};54;226;1108
Microsoft Windows Workstation;null;;1.3.6.1.4.1.311.1.1.3.1.1;Windows;;CWinDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/227', '@rel': 'self', '@op': 'GET'};185;227;1108
Microsoft Windows Server;null;;1.3.6.1.4.1.311.1.1.3.1.2;Windows;;CWinDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/228', '@rel': 'self', '@op': 'GET'};185;228;1108
HP Printer;null;;1.3.6.1.4.1.11.2.3.9.1;;;CThirdPartySnmpDevice;true;7;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/229', '@rel': 'self', '@op': 'GET'};186;229;1110
Microsoft Windows Domain Controller;null;;1.3.6.1.4.1.311.1.1.3.1.3;Windows;;CWinDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/230', '@rel': 'self', '@op': 'GET'};185;230;1108
Sun Solaris;null;;1.3.6.1.4.1.8072.3.2.3;;;CSunDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/248', '@rel': 'self', '@op': 'GET'};67;248;1108
HP-UX;null;;1.3.6.1.4.1.11.2.3.9.3;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/251', '@rel': 'self', '@op': 'GET'};187;251;1108
HP-UX;null;;1.3.6.1.4.1.11.2.3.8;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/252', '@rel': 'self', '@op': 'GET'};187;252;1108
HP-UX;null;;1.3.6.1.4.1.11.2.3.4;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/253', '@rel': 'self', '@op': 'GET'};187;253;1108
HP-UX;null;;1.3.6.1.4.1.11.2.3.2.5;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/254', '@rel': 'self', '@op': 'GET'};187;254;1108
HP-UX;null;;1.3.6.1.4.1.11.2.3.2.3;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/255', '@rel': 'self', '@op': 'GET'};187;255;1108
HP-UX;null;;1.3.6.1.4.1.11.2.3.2.*;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/256', '@rel': 'self', '@op': 'GET'};187;256;1108
Siemens Unknown Product;null;;1.3.6.1.4.1.1201.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/300', '@rel': 'self', '@op': 'GET'};300;300;1113
Nortel networks Unknown Product;null;;1.3.6.1.4.1.562.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/301', '@rel': 'self', '@op': 'GET'};301;301;1113
Newbridge networks Unknown Product;null;;1.3.6.1.4.1.123.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/302', '@rel': 'self', '@op': 'GET'};302;302;1113
Netgear Unknown Product;null;;1.3.6.1.4.1.4526.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/303', '@rel': 'self', '@op': 'GET'};303;303;1113
Madge networks Unknown Product;null;;1.3.6.1.4.1.494.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/304', '@rel': 'self', '@op': 'GET'};304;304;1113
Lucent Unknown Product;null;;1.3.6.1.4.1.1751.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/305', '@rel': 'self', '@op': 'GET'};305;305;1113
Juniper networks Unknown Product;null;;1.3.6.1.4.1.2636.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/306', '@rel': 'self', '@op': 'GET'};306;306;1113
Intel Unknown Product;null;;1.3.6.1.4.1.343.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/307', '@rel': 'self', '@op': 'GET'};307;307;1113
Fore Systems Unknown Product;null;;1.3.6.1.4.1.1825.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/308', '@rel': 'self', '@op': 'GET'};308;308;1113
Extreme networks Unknown Product;null;;1.3.6.1.4.1.1916.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/309', '@rel': 'self', '@op': 'GET'};309;309;1113
D-Link Unknown Product;null;;1.3.6.1.4.1.171.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/310', '@rel': 'self', '@op': 'GET'};310;310;1113
Compaq Unknown Product;null;;1.3.6.1.4.1.232.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/311', '@rel': 'self', '@op': 'GET'};311;311;1113
Cabletron Systems Unknown Product;null;;1.3.6.1.4.1.52.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/312', '@rel': 'self', '@op': 'GET'};312;312;1113
Accton Unknown Product;null;;1.3.6.1.4.1.259.*;;;CThirdPartySnmpDevice;true;10;10;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/313', '@rel': 'self', '@op': 'GET'};313;313;1113
Avocent terminal Servers;null;;1.3.6.1.4.1.2925.4;;;CThirdPartySnmpDevice;true;2;2;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/314', '@rel': 'self', '@op': 'GET'};314;314;1108
Enterasys A2H124-24;null;;1.3.6.1.4.1.5624.2.1.87;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/315', '@rel': 'self', '@op': 'GET'};315;315;1105
Enterasys A2H124-24P;null;;1.3.6.1.4.1.5624.2.1.88;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/316', '@rel': 'self', '@op': 'GET'};315;316;1105
Enterasys A2H124-48;null;;1.3.6.1.4.1.5624.2.1.89;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/317', '@rel': 'self', '@op': 'GET'};315;317;1105
Enterasys A2H254-16;null;;1.3.6.1.4.1.5624.2.1.95;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/318', '@rel': 'self', '@op': 'GET'};315;318;1105
Enterasys A2H124-48P;null;;1.3.6.1.4.1.5624.2.1.90;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/319', '@rel': 'self', '@op': 'GET'};315;319;1105
Enterasys A2H124-24FX;null;;1.3.6.1.4.1.5624.2.1.91;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/320', '@rel': 'self', '@op': 'GET'};315;320;1105
Enterasys B2G124-24;null;;1.3.6.1.4.1.5624.2.2.314;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/321', '@rel': 'self', '@op': 'GET'};316;321;1105
Enterasys B2G124-48;null;;1.3.6.1.4.1.5624.2.2.315;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/322', '@rel': 'self', '@op': 'GET'};316;322;1105
Enterasys B2H124-48;null;;1.3.6.1.4.1.5624.2.2.317;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/323', '@rel': 'self', '@op': 'GET'};316;323;1105
Enterasys B2H124-48P;null;;1.3.6.1.4.1.5624.2.2.318;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/324', '@rel': 'self', '@op': 'GET'};316;324;1105
Enterasys B3G124-24;null;;1.3.6.1.4.1.5624.2.1.100;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/325', '@rel': 'self', '@op': 'GET'};317;325;1105
Enterasys C2G170-24;null;;1.3.6.1.4.1.5624.2.2.360;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/326', '@rel': 'self', '@op': 'GET'};318;326;1105
Enterasys C2H124-48;null;;1.3.6.1.4.1.5624.2.2.220;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/327', '@rel': 'self', '@op': 'GET'};318;327;1105
Enterasys C2H124-48P;null;;1.3.6.1.4.1.5624.2.2.286;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/328', '@rel': 'self', '@op': 'GET'};318;328;1105
Enterasys C3G124-24;null;;1.3.6.1.4.1.5624.2.1.96;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/329', '@rel': 'self', '@op': 'GET'};319;329;1105
Enterasys 1G587-09;null;;1.3.6.1.4.1.5624.2.1.60;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/330', '@rel': 'self', '@op': 'GET'};320;330;1105
Enterasys 1H582-25;null;;1.3.6.1.4.1.5624.2.1.59;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/331', '@rel': 'self', '@op': 'GET'};320;331;1105
Enterasys 1H582-51;null;;1.3.6.1.4.1.5624.2.1.34;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/332', '@rel': 'self', '@op': 'GET'};320;332;1105
Enterasys Matrix N7 Platinum;null;;1.3.6.1.4.1.5624.2.1.52;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/333', '@rel': 'self', '@op': 'GET'};321;333;1105
Enterasys Matrix N3 Platinum;null;;1.3.6.1.4.1.5624.2.1.53;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/334', '@rel': 'self', '@op': 'GET'};322;334;1105
A10 AX3200;null;;1.3.6.1.4.1.22610.1.3.3;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/335', '@rel': 'self', '@op': 'GET'};323;335;1105
Foundry-si450;null;;1.3.6.1.4.1.1991.1.3.47.6.2;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/336', '@rel': 'self', '@op': 'GET'};324;336;1105
Citrix Netscaler Product;null;;1.3.6.1.4.1.5951.*;;;CThirdPartySnmpDevice;true;17;15;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/337', '@rel': 'self', '@op': 'GET'};325;337;1130
Brocade BigIron RX16Switch;null;;1.3.6.1.4.1.1991.1.3.40.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/338', '@rel': 'self', '@op': 'GET'};324;338;1105
Brocade BigIron RX16Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.40.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/339', '@rel': 'self', '@op': 'GET'};324;339;1104
Brocade BigIron RX4Switch;null;;1.3.6.1.4.1.1991.1.3.40.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/340', '@rel': 'self', '@op': 'GET'};324;340;1105
Brocade BigIron RX8Switch;null;;1.3.6.1.4.1.1991.1.3.40.2.2;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/341', '@rel': 'self', '@op': 'GET'};324;341;1105
Brocade BigIron RX4Switch;null;;1.3.6.1.4.1.1991.1.3.40.3.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/342', '@rel': 'self', '@op': 'GET'};324;342;1105
Brocade BigIron RRX4Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.40.3.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/343', '@rel': 'self', '@op': 'GET'};324;343;1104
Brocade BigIron RX32;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.40.4.1;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/344', '@rel': 'self', '@op': 'GET'};324;344;1104
Brocade FastIron X424 Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.1.1.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/345', '@rel': 'self', '@op': 'GET'};324;345;1105
Brocade FastIron X424 Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.1.1.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/346', '@rel': 'self', '@op': 'GET'};324;346;1104
Brocade FastIron X424 Edge Premium Switch;null;;1.3.6.1.4.1.1991.1.3.34.1.1.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/347', '@rel': 'self', '@op': 'GET'};324;347;1105
Brocade FastIron X424 Edge Premium Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.1.1.2.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/348', '@rel': 'self', '@op': 'GET'};324;348;1104
Brocade FastIron X424 Plus 1XG Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.1.2.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/349', '@rel': 'self', '@op': 'GET'};324;349;1105
Brocade FastIron X424 Plus 1XG Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.1.2.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/350', '@rel': 'self', '@op': 'GET'};324;350;1104
Brocade FastIron X424 Plus 1XG Premium Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.1.2.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/351', '@rel': 'self', '@op': 'GET'};324;351;1105
Brocade FastIron X424 Plus 1XG Premium Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.1.2.2.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/352', '@rel': 'self', '@op': 'GET'};324;352;1104
Brocade FastIron X424 Plus 2XG Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.1.3.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/353', '@rel': 'self', '@op': 'GET'};324;353;1105
Brocade FastIron X424 Plus 2XG Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.1.3.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/354', '@rel': 'self', '@op': 'GET'};324;354;1104
Brocade FastIron X424 Plus 2XG Premium Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.1.3.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/355', '@rel': 'self', '@op': 'GET'};324;355;1105
Brocade FastIron X424 Plus 2XG Premium Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.1.3.2.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/356', '@rel': 'self', '@op': 'GET'};324;356;1104
Brocade FastIron X448 Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.2.1.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/357', '@rel': 'self', '@op': 'GET'};324;357;1105
Brocade FastIron X448 Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.2.1.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/358', '@rel': 'self', '@op': 'GET'};324;358;1104
Brocade FastIron X448 Edge Premium Switch;null;;1.3.6.1.4.1.1991.1.3.34.2.1.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/359', '@rel': 'self', '@op': 'GET'};324;359;1105
Brocade FastIron X448 Edge Premium Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.2.1.2.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/360', '@rel': 'self', '@op': 'GET'};324;360;1104
Brocade FastIron X448 Plus 1XG Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.2.2.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/361', '@rel': 'self', '@op': 'GET'};324;361;1105
Brocade FastIron X448 Plus 1XG Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.2.2.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/362', '@rel': 'self', '@op': 'GET'};324;362;1104
Brocade FastIron X448 Plus 1XG Premium Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.2.2.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/363', '@rel': 'self', '@op': 'GET'};324;363;1105
Brocade FastIron X448 Plus 1XG Premium Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.2.2.2.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/364', '@rel': 'self', '@op': 'GET'};324;364;1104
Brocade FastIron X448 Plus 2XG Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.2.3.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/365', '@rel': 'self', '@op': 'GET'};324;365;1105
Brocade FastIron X448 Plus 2XG Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.2.3.1.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/366', '@rel': 'self', '@op': 'GET'};324;366;1104
Brocade FastIron X448 Plus 2XG Premium Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.2.3.2.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/367', '@rel': 'self', '@op': 'GET'};324;367;1105
Brocade FastIron X448 Plus 2XG Premium Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.34.2.3.2.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/368', '@rel': 'self', '@op': 'GET'};324;368;1104
Brocade FastIron X424 Edge Switch;null;;1.3.6.1.4.1.1991.1.3.34.3.1.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/369', '@rel': 'self', '@op': 'GET'};324;369;1105
Brocade FastIron X424 Workgroup Switch;null;;1.3.6.1.4.1.1991.1.3.35.1.1.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/370', '@rel': 'self', '@op': 'GET'};324;370;1105
Brocade FastIron X424 Plus 1XG Workgroup Switch;null;;1.3.6.1.4.1.1991.1.3.35.1.2.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/371', '@rel': 'self', '@op': 'GET'};324;371;1105
Brocade FastIron X424 Plus 2XG Workgroup Switch;null;;1.3.6.1.4.1.1991.1.3.35.1.3.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/372', '@rel': 'self', '@op': 'GET'};324;372;1105
Brocade FastIron X448 Workgroup Switch;null;;1.3.6.1.4.1.1991.1.3.35.2.1.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/373', '@rel': 'self', '@op': 'GET'};324;373;1105
Brocade FastIron X448 Plus 1XG Workgroup Switch;null;;1.3.6.1.4.1.1991.1.3.35.2.2.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/374', '@rel': 'self', '@op': 'GET'};324;374;1105
Brocade FastIron X448 Plus 2XG Workgroup Switch;null;;1.3.6.1.4.1.1991.1.3.35.2.3.1.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/375', '@rel': 'self', '@op': 'GET'};324;375;1105
Brocade FastIron 4802 POE Edge Switch;null;;1.3.6.1.4.1.1991.1.3.30.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/376', '@rel': 'self', '@op': 'GET'};324;376;1105
Brocade FastIron 2402 POE Edge Router;null;QuidviewRM;1.3.6.1.4.1.1991.1.3.30.2;;;CThirdPartySnmpDevice;true;0;0;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/377', '@rel': 'self', '@op': 'GET'};324;377;1104
Juniper EX8208;null;;1.3.6.1.4.1.2636.1.1.1.4.32;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/378', '@rel': 'self', '@op': 'GET'};306;378;1105
Juniper EX8216;null;;1.3.6.1.4.1.2636.1.1.1.4.33;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/379', '@rel': 'self', '@op': 'GET'};306;379;1105
Juniper EX4200;null;;1.3.6.1.4.1.2636.1.1.1.4.31;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/380', '@rel': 'self', '@op': 'GET'};306;380;1105
Juniper EX4200-24T;null;;1.3.6.1.4.1.2636.1.1.1.4.31.1;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/381', '@rel': 'self', '@op': 'GET'};306;381;1105
Juniper EX4200-24P;null;;1.3.6.1.4.1.2636.1.1.1.4.31.2;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/382', '@rel': 'self', '@op': 'GET'};306;382;1105
Juniper EX4200-48T;null;;1.3.6.1.4.1.2636.1.1.1.4.31.3;;;CThirdPartySnmpDevice;true;1;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/model/383', '@rel': 'self', '@op': 'GET'};306;383;1105
